PING 143.54.48.17 (143.54.48.17) 22(50) bytes of data.
30 bytes from 143.54.48.17: icmp_seq=1 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=2 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=3 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=4 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=5 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=6 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=7 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=8 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=9 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=10 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=11 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=12 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=13 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=14 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=15 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=16 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=17 ttl=62 time=568 ms
30 bytes from 143.54.48.17: icmp_seq=18 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=19 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=20 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=21 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=22 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=23 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=24 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=25 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=26 ttl=62 time=573 ms
30 bytes from 143.54.48.17: icmp_seq=27 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=28 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=29 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=30 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=31 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=32 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=33 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=34 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=35 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=36 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=37 ttl=62 time=569 ms
30 bytes from 143.54.48.17: icmp_seq=38 ttl=62 time=570 ms
